,Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_x,Dept,Weekly_Sales,IsHoliday_y
0,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,1.0,18689.54,False
1,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,2.0,44936.47,False
2,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,3.0,9959.64,False
3,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,4.0,36826.52,False
4,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,5.0,31002.65,False
5,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,6.0,3527.62,False
6,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,7.0,25942.35,False
7,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,8.0,34003.52,False
8,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,9.0,37670.13,False
9,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,10.0,32346.54,False
10,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,11.0,23541.72,False
11,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,12.0,10216.64,False
12,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,13.0,37255.89,False
13,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,14.0,14903.78,False
14,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,16.0,5913.03,False
15,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,17.0,7316.53,False
16,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,18.0,10170.41,False
17,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,19.0,932.24,False
18,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,20.0,3114.01,False
19,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,21.0,8742.41,False
20,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,22.0,6596.53,False
21,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,23.0,21318.68,False
22,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,24.0,6053.49,False
23,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,25.0,10417.72,False
24,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,26.0,7693.46,False
25,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,27.0,1882.59,False
26,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,28.0,788.61,False
27,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,29.0,4530.75,False
28,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,30.0,2573.12,False
29,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,31.0,1683.65,False
30,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,32.0,7124.84,False
31,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,33.0,5622.58,False
32,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,34.0,11197.3,False
33,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,35.0,2576.34,False
34,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,36.0,1485.91,False
35,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,37.0,3157.52,False
36,1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False,38.0,86946.05,False
